,id,prism_ppt,prism_tmean,prism_tmin,prism_tmax,prism_tdmean,prism_vpdmin,prism_vpdmax,pml_GPP,pml_Ec,pml_Es,pml_Ei,pml_qc,modis_ET,modis_LE,modis_PET,modis_PLE,modis_ET_QC,modis_NDSI_Snow_Cover,modis_NDSI_Snow_Cover_Basic_QA,modis_NDSI_Snow_Cover_Algorithm_Flags_QA,modis_NDSI,modis_orbit_pnt,modis_granule_pnt,modis_NDSI_Snow_Cover_Class,modis_Snow_Albedo_Daily_Tile_Class,modis_Snow_Albedo_Daily_Tile,q_cfs,q_m3day,q_m,q_mm
887,2003-06-07,0.0,20.02300975302706,13.285044964903518,26.762320264114837,11.202629344633438,2.413861914105032,18.091844802261804,,,,,,,,,,,0.0,0.21891480135942812,0.0,-2474.999648423767,1.0,1.0,,125.0,,9.13,22340.18691588785,0.0013325110248375558,1.3325110248375558
888,2003-06-08,0.0,19.826653737648915,13.311068073492441,26.342610305199013,11.646636808790424,2.313982795670555,17.46136564226416,,,,,,,,,,,0.0,1.0,0.0,-542.9016758467126,1.0,2.0,,125.0,,8.88,21728.462192013594,0.0012960238664356512,1.2960238664356512
889,2003-06-09,0.0,19.773922712348067,12.550399436106327,26.99833418337844,11.317928461629656,2.121356010173416,19.160852908981088,,,,,,,,,,,0.0,0.0,0.0,-2651.3736083440767,1.0,2.0,,125.0,,8.56,20945.454545454544,0.0012493203036812132,1.249320303681213
890,2003-06-10,0.0,17.75590846741178,9.373430968968709,26.13882583570551,9.529504205586163,0.9549362522960162,18.203465385216074,11.227626487039304,2.4736566301593164,0.049381198822034206,0.10129370281535306,0.0,401.90600905259845,1237.927235835804,612.7298891837053,1887.2692992039956,66.28342238161461,0.0,1.0,0.0,-830.4024961912575,1.0,1.0,,125.0,,8.33,20382.667799490227,0.001215752117951461,1.215752117951461
891,2003-06-11,0.0,15.641972659257503,8.698038183748439,22.58727477892383,9.009478812705197,0.7604966109859141,13.575109813347472,,,,,,,,,,,0.0,0.0,0.0,-1812.974393530997,1.0,1.0,,125.0,,8.1,19819.88105352591,0.0011821839322217087,1.1821839322217087
892,2003-06-12,0.0,14.810922346422114,8.080588660991406,21.54269233319626,8.547346209225184,0.4583267547196545,12.095424648288851,,,,,,,,,,,0.0,1.0,0.0,-1727.8150709012068,1.0,2.0,,125.0,,7.83,19159.218351741714,0.001142777801147652,1.142777801147652
893,2003-06-13,0.0,14.473580651785722,7.669744645206361,21.278762773023875,7.279885149877692,0.6644205749369394,13.047598742295493,,,,,,,,,,,0.0,0.0,0.4057189733973984,-475.88315949841797,1.0,1.0,250.0,125.42775108402672,,7.58,18547.493627867458,0.0011062906427457473,1.1062906427457473
894,2003-06-14,0.0,14.783139231989297,7.11722663228911,22.44909518372947,7.385825978234026,1.2137906756162566,15.34773274985469,,,,,,,,,,,0.0,0.9500175788116724,0.0,-2318.4266963553264,1.0,1.0,,125.0,,7.4,18107.051826677995,0.001080019888696376,1.080019888696376
895,2003-06-15,0.0,14.670505231109624,6.889478614192956,22.45271965857172,7.0298152075883,1.2981458688552465,15.65316881491435,,,,,,,,,,,0.0,1.0,2.3535684987694836,-277.351986405719,1.0,2.0,,125.0,,7.15,17495.327102803738,0.0010435327302944714,1.0435327302944715
896,2003-06-16,0.0,17.503311091030692,9.153390151620611,25.854208705550832,7.730677495811784,2.804040860188846,20.32326765954883,,,,,,,,,,,0.0,0.0,0.0,-2840.6113324739244,1.0,1.0,,125.0,,6.91,16908.07136788445,0.0010085050582286429,1.0085050582286428
897,2003-06-17,0.0,20.104775307213067,11.838759838402774,28.371459729808603,9.046899379731427,3.9479666306216457,25.170798144428083,,,,,,,,,,,0.0,1.0,0.0,-856.5690261338333,1.0,2.0,,125.0,,6.66,16296.346644010195,0.0009720178998267383,0.9720178998267384
898,2003-06-18,0.0,18.456126520974408,10.691134614413093,26.222566956060348,9.827440556082722,2.7470833279461058,18.90274206601749,10.86801006865109,2.5197429220117713,0.04654839730912029,0.005205126672993841,0.0,379.97266196000385,1170.277236960781,638.213401548845,1965.5308680371975,29.460367415648093,0.0,0.0,0.0,-2130.8777686628387,1.0,1.0,,125.0,,6.49,15880.3738317757,0.0009472066321134432,0.9472066321134432
899,2003-06-19,0.0,15.223587877025814,8.638163025461711,21.810446518815073,8.26374965743169,1.1232575929593596,12.394404597272343,,,,,,,,,,,0.0,0.9613852103597795,0.0,-1006.677194421657,1.0,1.0,,125.0,,6.35,15537.807986406116,0.0009267738234083766,0.9267738234083767
900,2003-06-20,0.0,13.42411186179897,7.07197677602628,19.777033802635856,6.391963725834411,1.543444432552034,11.689230352151764,,,,,,,,,,,0.0,0.0,0.0,-1741.4807219031998,1.0,1.0,,125.0,,6.16,15072.897196261682,0.0008990435830229292,0.8990435830229292
901,2003-06-21,0.0,13.828461228364118,6.3408023271135505,21.316857684216835,5.975456245350258,1.4603366934123292,15.686936867240837,,,,,,,,,,,0.0,0.985233798195242,0.0,-1783.50269541779,1.0,2.0,,125.0,,6.05,14803.738317757008,0.0008829892333260911,0.8829892333260911
902,2003-06-22,0.0,14.385050754652456,6.839239127334198,21.931794275535495,5.46952639536827,1.3527228408726213,15.839977732228377,,,,,,,,,,,0.0,0.9956052970819173,11.126333059885152,302.8139575764679,1.0,1.0,,125.0,,5.82,14240.951571792692,0.0008494210475963388,0.8494210475963389
903,2003-06-23,0.0,14.700390457395152,7.047100308565182,22.354159869102098,4.061630157704402,2.1343859308458426,17.70181721146232,,,,,,,,,,,,0.0,0.0,-808.0863705613501,1.0,1.0,250.0,150.0,,5.62,13751.571792693287,0.0008202313208748153,0.8202313208748152
904,2003-06-24,0.0,13.015785246829235,7.1014531058102195,18.930679318720014,4.271600898711333,1.9676058318347027,13.053869240542904,,,,,,,,,,,0.0,1.0,0.0,-663.7003984530645,1.0,2.0,,125.0,,5.56,13604.757858963463,0.000811474402858358,0.8114744028583579
905,2003-06-25,0.0,17.304261370073004,7.720813222938312,26.88933718625716,4.671857315320897,2.5951243038583827,27.20402635483482,,,,,,,,,,,0.0,0.0,0.0,-2737.8994491972353,1.0,2.0,,125.0,,5.35,13090.909090909088,0.0007808251898007582,0.7808251898007582
906,2003-06-26,0.0,22.35238180124984,12.551091972446645,32.15432224248847,3.228098138289744,7.818625393122767,42.182850055988304,10.654369841047435,2.9805913219997997,0.014618560764143362,0.0,0.0,433.33210293187085,1328.4968888420162,728.1914680447161,2232.2676650495673,78.88784307985067,0.0,1.0,0.0,-1321.0492792687212,1.0,1.0,,125.0,,5.14,12577.060322854715,0.0007501759767431584,0.7501759767431584
907,2003-06-27,0.0,26.141813153684943,16.961490804771323,35.323132612192175,4.387731937149743,13.297090218384334,51.007240739170804,,,,,,,,,,,0.0,0.0,0.0,-2106.0212703621223,1.0,1.0,,125.0,,4.93,12063.211554800338,0.0007195267636855585,0.7195267636855586
908,2003-06-28,0.0,26.417163213636428,18.026308518225054,34.809901743291,4.611150253040107,14.605280867424893,47.572518395579024,,,,,,,,,,,0.0,1.0,0.0,-1787.941286769014,1.0,2.0,,125.0,,4.72,11549.362786745964,0.0006888775506279587,0.6888775506279586
909,2003-06-29,0.0,23.133437468517148,14.319649700717482,31.948997608199022,3.821893712708161,9.89600775197215,38.71018744296433,,,,,,,,,,,0.0,0.0,0.0,-1552.5210359779683,1.0,1.0,,125.0,,4.6,11255.734919286318,0.0006713637145950444,0.6713637145950444
910,2003-06-30,0.0,18.630088572711305,11.234166524559361,26.026728749997755,5.224888388407184,3.2240637117753526,23.42659908475025,,,,,,,,,,,0.0,0.9640220321106293,0.0,-2331.5080862533696,1.0,2.0,,125.0,,4.53,11084.451996601529,0.0006611473102425112,0.6611473102425112
911,2003-07-01,0.0,18.02274391660038,10.419521531573592,25.626447992235338,7.731673996262157,2.3002545605022444,21.82854765049081,,,,,,,,,,,0.0,1.0,0.0,-534.7712996601431,1.0,2.0,,125.0,,4.52,11059.983007646557,0.000659687823906435,0.659687823906435
